Sample number,epoch machine time (ns),Timestamp for frame capture.read  (ns),Timestamp LPMSB2 (s),"Quaternions [q0, q1, q2, q3] LPMS-B2","Euler [Roll, Pitch, Yaw] LPMSB2"
100,1692885491167723445,1692885491145677314,3137.98,"[-0.050408411771059036, -0.7607074975967407, 0.5580185651779175, 0.32771703600883484]","[159.66920471191406, 33.700462341308594, -78.74097442626953]"
101,1692885491174720546,1692885491145677314,3137.985,"[-0.05038417503237724, -0.760656476020813, 0.5579111576080322, 0.3280220627784729]","[159.6396026611328, 33.727508544921875, -78.74864196777344]"
102,1692885491181012555,1692885491145677314,3137.9900000000002,"[-0.0503600537776947, -0.7606074213981628, 0.5578014254570007, 0.32832565903663635]","[159.6102294921875, 33.754512786865234, -78.75586700439453]"
103,1692885491187093545,1692885491145677314,3137.995,"[-0.050334952771663666, -0.7605566382408142, 0.5576940178871155, 0.3286294639110565]","[159.58062744140625, 33.78139114379883, -78.76350402832031]"
104,1692885491193987665,1692885491145677314,3138.0,"[-0.050193965435028076, -0.7605876326560974, 0.5575383305549622, 0.328843891620636]","[159.55203247070312, 33.7933464050293, -78.75730895996094]"
105,1692885491200136951,1692885491145677314,3138.005,"[-0.050173528492450714, -0.760541558265686, 0.5574338436126709, 0.3291304111480713]","[159.5245361328125, 33.81902313232422, -78.76402282714844]"
106,1692885491207333038,1692885491145677314,3138.01,"[-0.0501561239361763, -0.7604943513870239, 0.5573319792747498, 0.32941439747810364]","[159.49746704101562, 33.84463119506836, -78.77095031738281]"
107,1692885491213812237,1692885491145677314,3138.015,"[-0.05013848468661308, -0.7604506611824036, 0.557226836681366, 0.32969579100608826]","[159.47076416015625, 33.870086669921875, -78.77716064453125]"
108,1692885491220162027,1692885491145677314,3138.02,"[-0.05012819543480873, -0.7604091167449951, 0.557120680809021, 0.3299725353717804]","[159.44529724121094, 33.895713806152344, -78.78279113769531]"
109,1692885491227250167,1692885491145677314,3138.025,"[-0.05012228712439537, -0.7603644728660583, 0.5570204854011536, 0.33024513721466064]","[159.4203643798828, 33.92115783691406, -78.78902435302734]"
110,1692885491233247660,1692885491145677314,3138.03,"[-0.050122711807489395, -0.760322093963623, 0.5569211840629578, 0.33051007986068726]","[159.39678955078125, 33.946388244628906, -78.79473114013672]"
111,1692885491239570544,1692885491145677314,3138.035,"[-0.050140492618083954, -0.7602837681770325, 0.5568256974220276, 0.33075612783432007]","[159.37664794921875, 33.97119140625, -78.79936981201172]"
112,1692885491245457825,1692885491246292464,3138.04,"[-0.05017479881644249, -0.7602408528327942, 0.5567384362220764, 0.3309965133666992]","[159.35824584960938, 33.99652099609375, -78.8047103881836]"
113,1692885491252295165,1692885491246292464,3138.045,"[-0.05022375285625458, -0.7602013349533081, 0.5566574931144714, 0.33121591806411743]","[159.34315490722656, 34.02097702026367, -78.80921936035156]"
114,1692885491258483718,1692885491246292464,3138.05,"[-0.050201453268527985, -0.7602477669715881, 0.5565551519393921, 0.33128467202186584]","[159.33859252929688, 34.02790451049805, -78.79865264892578]"
115,1692885491264317879,1692885491246292464,3138.0550000000003,"[-0.0502634197473526, -0.7602091431617737, 0.5564817786216736, 0.3314873278141022]","[159.32614135742188, 34.051692962646484, -78.80288696289062]"
116,1692885491270243173,1692885491246292464,3138.06,"[-0.05032665282487869, -0.7601721286773682, 0.5564107298851013, 0.33168184757232666]","[159.3145294189453, 34.074825286865234, -78.80683135986328]"
117,1692885491276296542,1692885491246292464,3138.065,"[-0.05039454251527786, -0.7601364254951477, 0.5563412308692932, 0.33186963200569153]","[159.30401611328125, 34.09768295288086, -78.8104476928711]"
118,1692885491282393223,1692885491246292464,3138.07,"[-0.050467316061258316, -0.7600986361503601, 0.5562766194343567, 0.3320532739162445]","[159.29415893554688, 34.12042236328125, -78.81446838378906]"
119,1692885491289076902,1692885491246292464,3138.0750000000003,"[-0.05053098127245903, -0.7600592374801636, 0.5562173128128052, 0.33223333954811096]","[159.28358459472656, 34.14203643798828, -78.81912994384766]"
120,1692885491295316112,1692885491246292464,3138.08,"[-0.0505877286195755, -0.7600179314613342, 0.5561618804931641, 0.3324120342731476]","[159.27230834960938, 34.162925720214844, -78.82438659667969]"
121,1692885491301602051,1692885491246292464,3138.085,"[-0.050635926425457, -0.7599744200706482, 0.5561068058013916, 0.3325961232185364]","[159.25962829589844, 34.18362808227539, -78.83024597167969]"
122,1692885491307918821,1692885491246292464,3138.09,"[-0.05066743865609169, -0.7599328756332397, 0.5560499429702759, 0.3327813446521759]","[159.24537658691406, 34.20323944091797, -78.83609008789062]"
123,1692885491313950457,1692885491246292464,3138.0950000000003,"[-0.05068933218717575, -0.7598861455917358, 0.5559896230697632, 0.3329852223396301]","[159.2283477783203, 34.22382354736328, -78.84303283691406]"
124,1692885491319985259,1692885491246292464,3138.1,"[-0.0504184253513813, -0.7600733637809753, 0.5558236241340637, 0.3328765630722046]","[159.22279357910156, 34.198974609375, -78.81006622314453]"
125,1692885491326173379,1692885491246292464,3138.105,"[-0.050398677587509155, -0.7600151300430298, 0.5557555556297302, 0.33312585949897766]","[159.1973876953125, 34.220550537109375, -78.81993103027344]"
126,1692885491332157653,1692885491246292464,3138.11,"[-0.0503525584936142, -0.7599546313285828, 0.5556716918945312, 0.3334106206893921]","[159.1664581298828, 34.243614196777344, -78.83049011230469]"
127,1692885491339250564,1692885491246292464,3138.1150000000002,"[-0.050277527421712875, -0.7598915696144104, 0.5555726885795593, 0.33373063802719116]","[159.12974548339844, 34.26793670654297, -78.84184265136719]"
128,1692885491345232014,1692885491346888333,3138.12,"[-0.05018177628517151, -0.7598270177841187, 0.555461585521698, 0.33407655358314514]","[159.08883666992188, 34.29325866699219, -78.85364532470703]"
129,1692885491352075821,1692885491346888333,3138.125,"[-0.05006289482116699, -0.7597625851631165, 0.5553411841392517, 0.33444100618362427]","[159.04421997070312, 34.318687438964844, -78.86576080322266]"
130,1692885491358282093,1692885491346888333,3138.13,"[-0.049931980669498444, -0.7596988081932068, 0.5552107691764832, 0.3348219096660614]","[158.99716186523438, 34.34488296508789, -78.8778076171875]"
